Konversation	Eventsvar	Event/Ej event	Amount of conversations	Amount of events	Amount of non-events
jack: So what are your plans for this weekend;danielle: I don t know Do you want to get together or something;jack: How about going to see a movie Cinemax 26 on Carson Boulevard is showing Enchanted;danielle: That sounds like a good idea Maybe we should go out to eat beforehand;jack: It is fine with me Where do you want to meet;danielle: Let s meet at Summer Pizza House I have not gone there for a long time;jack: Good idea again I heard they just came up with a new pizza It should be good because Summer Pizza House always has the best pizza in town;danielle: When should we meet;jack: Well the movie is shown at 2:00PM 4:00PM 6:00PM and 8:00PM danielle: Why don t we go to the 2:00PM show We can meet at Summer Pizza House at noon That will give us plenty of time to enjoy our pizza;jack: My cousin Karen is in town Can I bring her along I hate to leave her home alone;danielle: k bye jack: Bye		Yes			
elizabeth: Hi Stephanie When are you going to see John and Kim;elizabeth: What do you plan to get them;stephanie: Hello Elizabeth I am thinking of seeing them tommorrow;stephanie: I don t know what to get them yet Do you have any suggestions;elizabeth: I was thinking that you could purchase them a gardening set since it is getting warm outside;stephanie: Yes That is a great idea They enjoy gardening a lot but they also like chocalate so maybe I will get them two things;elizabeth: I think that is a great idea What type of chocolate will you buy;stephanie: I don t know yet I m thinking truffles but I m so busy this week I don t know if I ll have time to pick up both;elizabeth: I can pick up the truffles for you;stephanie: I will be heading to the store tomorrow for the gardening stuff if you could pick up the chocoalte that would be amazing;elizabeth: Of course Stephanie Talk to you then 		Yes			
roger: Hey Barry I wanted to ask your thought about Michelle;barry: Hey Roger yeah sure man I think she s really cool and funny;roger: I feel the same way in fact I think I have feelings for her;barry: Really That s great Are you going to tell her;roger: I want to but I m afraid it ll ruin our friendship;barry: Just speak from the heart I m sure she will understand;roger: What kind of topic should I bring up you know to get her more interested in me;barry: Talk to her about music she really loves music;roger: OK thanks for the information it s a big help barry: Good luck to you hope she likes you back 		No			
stephanie: Hey Elizabeth;elizabeth: Good day;stephanie: So I ve decided on what to get John and Kim;stephanie: Since John is a movie fanatic I decided to buy him the AMC Movie all access pass;elizabeth: and that s because;stephanie: And since Kim is into makeup I m thinking about getting her some new makeup from sephora;stephanie: Does that sound okay;stephanie: I m vising them next week;elizabeth: what movie do you like about action drama;stephanie: I m not really into movies my brother John is;elizabeth: oh ok you like it s makeup;stephanie: No;stephanie: I m visiting my brother and sister next week and I wanted to bring them gifts;stephanie: Since my brother John likes movies I m getting him movie tickets;elizabeth: ah ok;stephanie: And my sister Kim likes makeup so I m planning on buying her a kit from Sephora;stephanie: Does it sound like a good idea;elizabeth: sounds good		No			
jose: Richard is coming to visit it what should we plan to do with him;brian: Hi There I m not sure does he like the outdoors;jose: Yeah I think he does Maybe we could go for a hike;brian: That sounds great Maybe he would like that Any ideas which trail;jose: We could go on Granite Trail or Mountain Trail I think Granite Trail would be better;brian: I do too I really like that trail How about packing a lunch and doing some exploring;jose: Sounds perfect There s a picnic area right near the trail where we can eat our lunch at;brian: OK You might want to let Richard know to bring his backpack and hiking boots;jose: I will See you soon Brian;brian: Thanks Jose See you Friday 		Yes			
bill: Hey Martha let s do something fun this weekend;martha: Sure I would love to I need a break I ve been wanting to try out that new brewery downtown;bill: Oh yeah I did hear about that Let s do it;martha: I know Evan wanted to go too I guess I ll invite him;bill: Awww do we really have to invite Evan He hates Janet and I would really like her to come too;martha: Sorry I forgot how Evan feels about your girlfriend We don t have to invite him;bill: Thanks for understanding martha: Should we invite Tom I think he gets along with everyone;bill: Yeah I m fine with Tom Do you want to invite Tom and Janet or just one of them;martha: I think we should invite both Then it will be a double date;bill: Interesting I didn t know you were dating Tom 		Yes			
judy: Hey Bruce how are you doing;bruce: I am doing quite good thanks for asking Judy;judy: So aunt Maya called me about your upcoming birthday and what kind of gift you would like;bruce: So we can think about what she will get me right;judy: She lives in France so she knows a lot of places that sell unique stuff;bruce: I know for sure she is the right person to receive a gift from;judy: So is there some specific kind of thing you would prefer;bruce: I would be quite glad with something that at least has some french theme in it;judy: Alright maybe some kind of decoration with some french culture in it bruce: Sure that would be nice though I still want to have it as a surprise;judy: Sure you are right alright I will talk with our aunt 		No			
larry: Hey Amy;larry: We need to get a list together of campinghiking gear we all need to bring;amy: Hey Larry Excited for our camping trip;amy: so we ll need a tent sleeping bags cookware what else;larry: Yes I am What do you think we should bring I am happy to bring a few tents;amy: Great I can bring sleeping bags for everyone That leaves cookware an axe and food for the others;larry: Ok Angela told me she could bring the food;amy: I know Jack has an axe;larry: Have you talked to Alex;amy: Great Alex can be in charge of the cookware;larry: Great I am looking forward to getting together;amy: me too;larry: Talk soon Bye;amy: bye Larry 		Yes			
carol: Hi Joe;joe: Hi Carol How are you;carol: Good and you;joe: Good So what do you think Henry Kelly Christina and Walter would like to eat;carol: Well Christina doesn t eat meat I am not sure if the others have any restrictions;joe: Ok we can make a vegetarian dinner like eggplant parmesan and dinner with meat like chicken parm to make it easy Sound good;carol: That sounds great I am going grocery shopping later What do you need me to get;joe: You could get the eggplant and sauce and I will get the chicken and a pasta dish;carol: Great Sounds like a plan;joe: Ok see you later;carol: Okay bye for now		No			
chris: Hi Anthony;anthony: Hey Chris;anthony: You should come and join me and my colleagues;chris: I am not sure about that I do not know them;anthony: They re very nice and I think you would like them;anthony: Jason likes a lot of the same interests that you do;chris: You know how I am with people I do not know I just don t feel confortable;anthony: I know but just give it a try They re very eager to meet you;chris: Do they know I am coming Do they mind that you are bringing a friend;anthony: Yeah they know all about you from what I told them;anthony: They don t mind at all they are excited to meet you 		No			
adam: Can you pick up Barry and Martha for me;nathan: Sure I can do that;nathan: What do you parents like to eat I would like to take them to lunch when they arrive;adam: That would be great;adam: They like italian food;nathan: Ok great what day and what time will they be arriving;adam: They arrive Friday at 5pm;nathan: Will they be at Union Station on First Street;adam: Yes That s the place;nathan: You got it I will be there at Union Station at 5 p m Please let them know I will be driving the silver Jeep and I will bring them out for dinner since they will be arriving later in the afternoon 		Yes			
carol: I m excited for our dinner with Henry Kelly Christina and Walter;joe: I m excited for this weekend;joe: It should be fun;carol: I think I d be more comfortable if you picked up the meat for the main course you are better at it;joe: What were you thinking about main course;joe: I m good with getting the meat;carol: I think we should do some nice steaks;carol: I ll head to the store tomorrow and pick up a few bottles of good red wine to go with it;joe: That sounds good Should we pick out some sides Maybe someone else can get those;carol: I ll talk to everyone tomorrow and see if they can each bring a side and I ll take care of dessert too;joe: That sounds good to me Looking forward to it;carol: Me too 		Yes			
nicole: Lauren hey;lauren: What s going on Nicole;nicole: Nothing much just hanging out;lauren: Great I wanted to ask you for help I m planning on buying a new Chevrolet car You bought one recently yes;nicole: Yes I did let me know what you need I d be happy to help;lauren: Great What dealership did you go to;nicole: Just one near me I can give you the address Also my friend Pamela got a Chevy recently as well I can ask her about her experiences as well and get back to you;lauren: That sounds great let me know her thoughts as well Thanks for your help;nicole: You re welcome 		No			
eric: Hey Lauren;eric: So since we are in Seattle for the whole week I think we should meet up with Shirley Ben and Anna at some point what do you think We could do a couple of lunches and a dinner maybe;lauren: Yeah that sounds great;lauren: Do you have a preference of what we do for each;eric: Let s meet up with Shirley tonight since she s leaving town in a couple of days I ll reach out to her;eric: You know Ben and Anna better so will you reach out to them;lauren: Okay that sounds great;lauren: Im going t o reach out to them now;eric: When do you think either of them will be available;eric: ok thanks;lauren: They both said they re available for lunch on whatever day we want;eric: oh awesome;lauren: We can do Ben tomorrow and Anna the next day;eric: perfect;eric: shirley agreed for tonight;eric: looking forward to it;lauren: Ok perfect;eric: see you soon bye;lauren: see you then 		Yes			
eric: Hi How are you today;lauren: Hey there I m doing great How about you;eric: I m doing very well;lauren: Have you talked to Shirley Ben or Anna yet;eric: I haven t I was wondering if you were going to call them;lauren: Yes I think I will I would love for us to meet up with them while we re here;eric: Great idea Do you want to meet up with them as a group or should we visit them seperatly;lauren: Maybe separately is better I ll call them now and see if any of them can meet up tonight;eric: Awesome This is going to be so much fun		No			
lauren: Hey Nicole you recently bought a chevy right;nicole: Yeah and my friend Pamela also got a chevy;lauren: Oh cool What dealers did you each shop at and what dealer did you each end up buying from;nicole: I had a good experience at the dealership in town they treated me well and I feld the price was fair;lauren: Ok that is good to hear I am trying to find the best deal;lauren: Did Pamela use that same dealership;nicole: I believe Pamela went to a different dealership but she seems happy as well;lauren: Can you talk to her please and see what she thinks about both of them;nicole: I ll talk to Pamela and she what she felt and I will get back to you;lauren: That is awesome thanks;nicole: You re welcome 		No			
paul: Hey Henry do you know what time we are supposed to meet up to head to the beach;henry: I;henry: I m not sure yet I have to check with Alex when he s free;henry: what do you think;paul: Im thinking probably Saturday beings Dennis Alex and Jack are all off;paul: Youre off Saturday too right;henry: Saturday also works for me Which beach are you thinking of;paul: Hmmmm we haven t gone to Myrtle Beach in awhile Or maybe Atlantic Beach would be better;henry: Atlantic beach sounds bettter Alex doesn t like the crowds of Myrtle beach too much what time to leave on saturday;paul: That s true I didnt think how packed the beaches would probably be beings its been so nice outside;paul: It would probably be best to leave around 9 so we can get their early and find our spot before all the good ones are taken;henry: i think 9 is ok i have time to drink a coffee by then;paul: LOL I could use a coffee right now;henry: ha i ll see you saturday 		Yes			
jack: Hey Ronald how it going;jack: I was thinking about going to a baseball game Would you be interested;ronald: Hey Ronald I m doing great How about you;ronald: Patrick and Steve mentioned going to the game too Should we ask them to go with us;jack: That s a great idea Ronald Ask them What day do you think would work for you;ronald: Saturday works for me I can ask them which works for them What do you think;jack: Saturday is perfect I think if you come to my house first we can then go pick them up Sound good;ronald: Yes I think that s a good idea Let me check with them to make sure the day is good for them and we ll take it from there;jack: Ok let me know;ronald: I will let you know as soon as I know Thanks for asking me;jack: My pleasure 		Yes			
aaron: So you like Tara;keith: Yes I do a lot;aaron: I should give you some ideas on who she is;keith: Yeah tell me about her;aaron: She is very interested in books;keith: Oh that is great;aaron: She spends a lot of time at the library;keith: That is really cool to know;aaron: I think you should bring up the fact that you like her to her;keith: I want to but I am nervous;aaron: Just talk about books;keith: I don t read though;aaron: Well start She likes Mark Twain 		No			
mindy: So which boat are you thinking;keith: Both are nice I just want something that is easy to sail;mindy: Well we could get Logan to come with us he s an experienced boater;keith: Yeah good idea We could do with an expert who isn t the salesperson;mindy: Okay I will text him;keith: I think Paul would be good too he is really up on design and new tredns i trust his judgement;mindy: Uhh but logan is not too keen on keith They got in the stupid argument about cars last time;keith: Well maybe you can take logan to talk to the salesperson about model features and i can take paul to look at the boats;mindy: Yeah that could work to keep them apart haha;keith: Okay I ll het on to Paul and see if her is free 		No			
jack: Hey Pam what do want to do this weekend;pamela: I have not thought about the weekend yet but it is suppose to be a lovely day;jack: What do you think about checking out the brewery on Saturday;pamela: That sounds like a lot of fun I would enjoy that very much;jack: Great Should we invite some of our friends to go with us;pamela: Let s invite Wilson and Leslie What do you think about them;jack: I am not sure if I want to invite Wilson I am not that fond of his girlfriend Leslie;pamela: Oh I didn t realize you didn t like Leslie What about inviting Tom;jack: Tom would be great I suppose we could also invite Wilson and Leslie As long as I don t have to interact with Leslie all that much;pamela: I will keep Leslie occupied How about I give her a call and you give Tom a call;jack: Sounds good to me 		Yes			
larry: hello tyler how are you doing today;tyler: I m good but i want to tell sandra something but don t know how to;larry: what do you want to tell her;tyler: i don t want to ruin our friendship or make her feel uncomfortable;larry: well i know sandra likes to go out to eat but she dislikes going to movies;tyler: okay i ll take her out to eat and tell her what s bugging me;larry: yes that would be a good way to make her not feel uncomfortable;tyler: okay i will let you know how it goes i hope it doesn t ruin our friendship;larry: i m sure she will understand as long as she feels comfortable;tyler: thank you for the advice larry 		No			
bruce: Hey Karina how are you;karina: I m good dad how are you;bruce: Great thanks You know it s time for you annual check up right;karina: But dad I hate Dr Benjamin;bruce: Why would you hate Dr Benjamin;karina: Because I think he is rude and mean to me;bruce: No don t say that He s a really nice guy trust me;karina: I don t think so I don t want to go to him;bruce: Just give him another chance I promise you ll love him;karina: Fine I will try it one more time 		No			
scott: The trash outside Karina s door is getting out of control;eva: I think i saw a rat;scott: Are you serious that is so gross We should say something;eva: I don t really want to be confrontational;scott: Maybe she feels unsafe going out to the bin area at night;eva: Maybe Perhaps we can offer to go with her;scott: I think we should tell her there was a rat and she won t one in her house;eva: Okay well lets go over tonight and see if she wants us to go with her;scott: Okay sounds good I hope it works;eva: Well we don t have many option tbh 		No			
cathy: Hey Kelly I m heading to the department group lunch in a bit;kelly: How is the lunch so far and who s all over there;cathy: Peggy and Caroline are here and by the way I have some gossip to tell you;kelly: Oh yeah I love gossip what s it about;cathy: Well I saw Peggy leave the restroom without washing her hands and I think that s so nasty;kelly: You don t say I heard the same thing about Peggy from Caroline last time I talked to her;cathy: Do you think we should bring it up since it s a recurring issue;kelly: No that s fine I don t want any drama in the office;cathy: Good idea me either OK then have a great day I ll update you with more stuff later;kelly: Enjoy the rest of the department group lunch		No			
christina: Oh Bob I just noticed that I m not going to have enough vegetables to feed all of us;bob: Well we can t have that What do you need me to do honey;christina: Could you run to the store and grab some more please;bob: Of course Jeremy and Carrie love grilled asparagus What do you think about adding it;christina: That sounds yummy Make sure to get some of that;bob: I know that Mike likes potatoes He likes them cooked all different ways;christina: Well that would actually work I didn t make any tonight and would go well with our meal;bob: I m pretty sure that Rose likes asparagus and potatoes Do you know;christina: Yes she likes both I think those two vegetables would be great;bob: Okay honey I ll go get it right now;christina: Make sure to get plenty darling Love you Be careful		No			
mindy: I have to go for groceries;madison: What should we get;madison: The twins have such different preferences so I have to think about it;mindy: How about lettuce and salad I ll pick up;madison: Great I ll get the entree of chicken;mindy: Okay I ll get the drink;madison: That sounds good I ll get a dessert;mindy: Can you get chocolate cake;madison: What about vanilla They like that;mindy: Sure that sounds good James and Donna will be here soon 		No			
henry: hi paul;paul: Hi Henry Have you talked to Jack Dennis and Alex about the trip this summer;henry: yes paul: I m thinking we should camp at Emma Wood State Beach How does June work for you Thought;henry: i am just free in june;paul: Well that s great new Henry;henry: i accept your plan paul;paul: I m planning to bring my dog Cujo;henry: oh good paul: Nice talking with you Henry Have a good night and we ll talk soon Good night 		Yes			
monica: Hey I missed the last lecture;matt: Oh that is not good monica: Can I copy your notes;matt: Yes sure you can;monica: Thanks a lot Matt;matt: I have to be honest though I did not listen good and the notes are bad;monica: Oh okay Maybe I won t ask then;matt: I was in the back of the class It was hard;monica: I think I will ask Ellen then;matt: Yeah or Cheryl too 		No			
emily: Hey I missed the last lecture do you think I can copy your notes;walter: Honestly I didn t really get them I had a hard time understanding Prof Miller;emily: Yeah he can be confusing at times;walter: Tell me about it;emily: What should I do then;walter: You can ask Lara She has the notes;emily: Yes or maybe Emma she s in our class too;walter: Yes good idea emily: Can you send me Emma s number;walter: Yeah sure I will in a minute;emily: Thanks so much walter: Not a problem I m looking for it now 		No			
peter: hi peter: looking for a job greg: You are looking for a job;peter: do you know someone at ford;greg: I do actually My friend Sam works at Ford;peter: will you talk to him;greg: About a job I can but who is looking for a job;peter: justin;greg: Oh ok I think I remember Sam talking about going to State University with a Justin Did Justin go to State university;peter: yup thanks		No			
stephanie: Hi im stepahnie william: Hey I am William;stephanie: you know the Winstons;william: Yeah I guess there is a picnic going on next week;stephanie: what are you bringing to the picnic;william: I think I am going to bring pasta salad and a cooler of drinks Are you going to be going What will you bring;stephanie: just myself what is kevin bringing;william: I think he is bringing chips and salad I think the Winston s feed to bring desert and some kind of entree;stephanie: Sounds good See you soon 		Yes			
lauren: Hey Nicole you recently bought a chevy right;nicole: Yeah and my friend Pamela also got a chevy;lauren: Oh cool What dealers did you each shop at and what dealer did you each end up buying from;nicole: I had a good experience at the dealership in town they treated me well and I feld the price was fair;lauren: Ok that is good to hear I am trying to find the best deal;lauren: Did Pamela use that same dealership;nicole: I believe Pamela went to a different dealership but she seems happy as well;lauren: Can you talk to her please and see what she thinks about both of them;nicole: I ll talk to Pamela and she what she felt and I will get back to you;lauren: That is awesome thanks nicole: You re welcome 		No			
jack: Hey Ronald how it going;jack: I was thinking about going to a baseball game Would you be interested;ronald: Hey Ronald I m doing great How about you;ronald: Patrick and Steve mentioned going to the game too Should we ask them to go with us;jack: That s a great idea Ronald Ask them What day do you think would work for you;ronald: Saturday works for me I can ask them which works for them What do you think;jack: Saturday is perfect I think if you come to my house first we can then go pick them up Sound good;ronald: Yes I think that s a good idea Let me check with them to make sure the day is good for them and we ll take it from there;jack: Ok let me know;ronald: I will let you know as soon as I know Thanks for asking me;jack: My pleasure 		Yes			
roger: Hey Barry I wanted to ask your thought about Michelle;barry: Hey Roger yeah sure man I think she s really cool and funny;roger: I feel the same way in fact I think I have feelings for her;barry: Really That s great Are you going to tell her;roger: I want to but I m afraid it ll ruin our friendship;barry: Just speak from the heart I m sure she will understand;roger: What kind of topic should I bring up you know to get her more interested in me;barry: Talk to her about music she really loves music;roger: OK thanks for the information it s a big help barry: Good luck to you hope she likes you back 		No			
janice: You saw our new neighbor Melinda moving in last night right;darren: Yeah she seemed nice;janice: Did you talk to her at all;darren: No I was in a bit of a rush as she was coming in;darren: But she did seem really nice;janice: I was thinking that we should invite her over for dinner next week;darren: We can do that I bet she d appreciate it;janice: I think she really would Who knows if she knows anybody in the neighborhood yet And it s always so hard to make new friends;darren: That s true darren: Do you have any idea what sort of food she likes;janice: Well she seems very thin and fit so I ll look into health foods a bit;darren: Sounds like a good plan		No			
cameron: Hi Kyle;kyle: Hi Cameron;cameron: Do you know the coupel LindaMartin;kyle: Yes They are your neighbors Am I right;cameron: Yes kyle: They are really such nice people;cameron: Yes I also liked them;kyle: So what about them;cameron: They are planning to remodel their house;kyle: Nice I want to join to help them;cameron: I am also wanted to Do you have any plan;kyle: We can buy all the things which are needed for remodeling;cameron: We can buy chairs and some furniture items to the new house;kyle: That s really nice It will be helpful to them;cameron: Ok then we will meet at the furniture store 		No			
anthony: hi chris: ho hi chris: how u doing;chris: I am Chris;anthony: fine i just had lunch stepping out to see a game soon;anthony: wanna come with me;chris: sure thing chris: are Jason Gary and William going;anthony: can you call Alice and tell her about the game;chris: Sure let me call her now;chris: She said she will go too;chris: ok we will meet there then 		No			
carol: Hi Joe;joe: Hey so what movies did you see the other day;carol: We went to watch Avengers;joe: Did it end leading up to another sequel carol: Yes I can t wait to see it Henry didn t really care for the movie though;joe: Oh okay I m not a huge Avengers fan either but I do think it s good stuff;carol: Kelly and I thought it was sad We also saw a Dog s Journey which was funny and sad;joe: I saw the first movie they made based on book by same author Bruce Cameron s A Dog s Purpose I read a Dog s Journey and anticipated the movie would be a combination of funny and sad;carol: Yes it was Both movies were really good and held our attention but if you don t like crying at movies you may want to skip them both lol;joe: Yeah I don t mind a shedding a tear Movies that can evoke different emotions are all the better I look forward to eventually seeing the Avengers movie but I did wonder if it lived up to all the hype		No			
linda: pamela you wanna go for a run;pamela: Hey Sorry I m kind of busy with work right now;pamela: I can t;linda: Awww please come it would be more fun if you join me;pamela: I know I wish I could I just have a big deadline tomorrow;linda: do you happen to know anyone who can join me then;pamela: yes actually i do my friend meredith runs in the same park;linda: Ok thanks for the info pamela good luck with work;pamela: her number is 111 2223333 if you want to reach out to her;pamela: sure thing next time hopefully i ll be able to join you;linda: alright thanks pamela: have a nice run linda: thank you girl definitely next time 		Yes			
brian: hi there hi are you doing;rebecca: Stuck at work B Could you please grab my books from Laura s;brian: I certainly will;rebecca: Awesome Thanks You re the best I ll meet you whenever I can get out of the office;rebecca: Drinks on me;brian: ok thank you;brian: You have a good day;rebecca: Of Course THanks for your help 		No			
joe: Hey Carol Watched and tv shows lately;carol: Hi Joe Yes I saw a couple movies recently with Henry and Kelly;carol: The Avengers and Detective Pikachu joe: Were they good;joe: Do you know what Henry and Kelly thought about them;carol: They were great Henry and Kelly especially liked Avengers They said it was one of the best they have ever seen;joe: That Great Which did you prefer;carol: I liked Detective Pikachu I thought the character was so cute;joe: Maybe I ll go see it Thanks bye 		No			
roger: Hi Malcolm;malcolm: Hey Rog Thanks for getting in touch We should figure out how we re going to split the driving with Shane Paul and Ivan;roger: Yes That sounds great we will all get a turn and be able to rest some;malcolm: Cool maybe we pick two people and they can do the day s shift How much do you think everyone should pitch in monetarily It s going to be a week long trip;roger: Well I think 200 00 each plus we all can take extra for the little things we want;malcolm: Good call good call I ll check out some airbnb listing tomorrow and see what I can find;roger: I will research a few outings also and get back to you about what I find Talk later on;malcolm: Great Talk to you soon 		No			
chris: Hey mark: Hey Chris what would you like to go to a movie tonight;chris: Hey Mark I would what do you want to see;chris: Should we invite others;mark: I think we should go see that new one Thor it seemed like a great action movie I think it would be great to have the others go with;mark: Ill Call and find out who wants to go Should i drive the van or would you like to take us;chris: Wow Tom wanted to see thaat;chris: I can take everyone Thanks for calling it should be fun Tell everyone to meet at your house who agrees I pick you aup around 8;chris: up mark: Sounds great thanks for driving us;mark: Ill bring extra money for drinks and food See you at 8;chris: No problem See you then;chris: Bye mark: Bye		Yes			
derrick: Hey Ben I got some news to tell you;ben: What s up Derrick;derrick: I just heard that Jessie just broke up with Jackie;ben: What Why how What happened between them;derrick: Looks like Jackie was cheating on Jesse This was the main reason for the breakup;ben: Oh yeah I saw them arguing two weeks ago in a pub Maybe that was the reason;derrick: Perhaps Let s find a way to cheer up Jesse He must be pretty down right now;ben: Let s take him to the bar He can drown his sorrows with liquor;derrick: Haha alright Let s take him with us to the bar tonight Are you down;ben: Yes I m good with tonight See you later;derrick: See you later 		No			
ruth: Eve are you coming to see the upcoming show of The Housemakers;evelyn: Of cure Ruth I bought my ticket six months ago Ahaha I am not that excited;ruth: Me too I am very excited to watch them and see my Dylan How about you Who s your favorite band member;evelyn: Oh I had a huge crush on on their drummer Peter;ruth: Oh yes he is good too But I like Dylan more especially when he wears those outfits;evelyn: I noticed he is that extra in wearing rock outfits By the way have you heard that Peter and Dylan had a fight last week;ruth: Yes but I don t think its a big fight They are probably okay by now;evelyn: I think so too the media has just overblown the news Can I have a ride with you on the vent;ruth: Sure I will be picking you up at 4 PM See you;evelyn: Yay Thank you so much see you and our favorite rock band next week					
